Iter,normal,RAND,double,dueling
913,5.7,0.520027702,161.7083106,
914,5.8,0.616572593,190.7717779,
915,5.9,0.29586505,94.659515,
916,6,0.200632411,66.18972322,
917,6.1,0.904420454,277.4261363,
918,1.1,0.217588928,66.37667833,
919,1.2,0.329246639,99.97399163,
920,1.3,0.616575587,186.272676,
921,1.4,0.148346007,45.9038021,
922,1.5,0.170960852,52.78825571,
923,1.6,0.105984874,33.3954622,
924,1.7,0.947914022,286.0742065,
925,1.8,0.026986556,9.895966674,
926,1.9,0.148451693,46.43550794,
927,2,0.779235454,235.7706361,
928,2.1,0.929034394,280.8103183,
929,2.2,0.648803908,196.8411725,
930,2.3,0.682140257,206.942077,
931,2.4,0.831753425,251.9260275,
932,2.5,0.894922109,270.9766327,
933,2.6,0.32618007,100.4540211,
934,2.7,0.531426636,162.1279909,
935,2.8,0.642037205,195.4111616,
